k,i
clickVideoExit,0.044057803
clickVideoExit,0.064506716
clickVideoExit,0.975025983
clickVideoExit,0.463161577
clickVideoExit,0.727848177
clickVideoExit,
clickVideoExit,0.417464823
clickVideoExit,0.070684762
clickVideoExit,0.002870163
clickVideoExit,0.002332507
clickVideoExit,
clickVideoExit,0
clickVideoExit,0.364954429
clickVideoExit,0.331028142
clickVideoExit,0.668368244
clickVideoExit,0.634791733
clickVideoExit,0
clickVideoExit,0.003489767
clickVideoExit,0.70870243
clickVideoExit,0.988001679
clickVideoExit,0.808886313
clickVideoExit,0.002838184
clickVideoExit,0.987424049
clickVideoExit,0.702674288
clickVideoExit,0.033556524
clickVideoExit,0.745536856
clickVideoExit,0.500241845
clickVideoExit,0.996736089
clickVideoExit,0.001089303
clickVideoExit,0
clickVideoExit,0.287717861
clickVideoExit,0.996776063
clickVideoExit,0.033964263
clickVideoExit,0.996396306
clickVideoExit,0.706729693
clickVideoExit,0.020500879
clickVideoExit,0.586726495
clickVideoExit,0.55196874
clickVideoExit,0.906571794
clickVideoExit,0.000387752
clickVideoExit,0
clickVideoExit,0.166331548
clickVideoExit,0.964504717
clickVideoExit,0.585289415
clickVideoExit,0.99912456
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.000631596
clickVideoExit,0.000393748
clickVideoExit,0.172029901
clickVideoExit,0.830542453
clickVideoExit,0.003823553
clickVideoExit,0.946820035
clickVideoExit,0
clickVideoExit,0.348582907
clickVideoExit,0
clickVideoExit,0.839394787
clickVideoExit,0.190893828
clickVideoExit,0
clickVideoExit,0.401582987
clickVideoExit,0.322517589
clickVideoExit,0.976145267
clickVideoExit,0
clickVideoExit,0.219799328
clickVideoExit,0
clickVideoExit,0.007097458
clickVideoExit,0.035803086
clickVideoExit,0.005330588
clickVideoExit,0.003997442
clickVideoExit,0.011662536
clickVideoExit,0.725455708
clickVideoExit,0.003613687
clickVideoExit,0.212891749
clickVideoExit,0.971196434
clickVideoExit,0.36398505
clickVideoExit,0.519395587
clickVideoExit,
clickVideoExit,0.996919971
clickVideoExit,0.219615446
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.680642389
clickVideoExit,0.699146546
clickVideoExit,0.038801167
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.006707707
clickVideoExit,0.256965542
clickVideoExit,0.074392389
clickVideoExit,0.624836105
clickVideoExit,0.908728414
clickVideoExit,0.186970339
clickVideoExit,0
clickVideoExit,0.028371842
clickVideoExit,0.204131356
clickVideoExit,0.009146146
clickVideoExit,0.056469859
clickVideoExit,0
clickVideoExit,0.954425168
clickVideoExit,0
clickVideoExit,0.884366006
clickVideoExit,0.124732171
clickVideoExit,0.085944995
clickVideoExit,0.427336505
clickVideoExit,0.000935401
clickVideoExit,0.899946035
clickVideoExit,0.006315958
clickVideoExit,0.65154701
clickVideoExit,0.011394707
clickVideoExit,0.649822114
clickVideoExit,0.927330508
clickVideoExit,0.098636872
clickVideoExit,0.999400384
clickVideoExit,0
clickVideoExit,0.564274864
clickVideoExit,0.010211465
clickVideoExit,0
clickVideoExit,0.998774784
clickVideoExit,0.000415734
clickVideoExit,0.015925807
clickVideoExit,0.003313879
clickVideoExit,0.985083547
clickVideoExit,0.51221818
clickVideoExit,
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.010847058
clickVideoExit,0.842826591
clickVideoExit,0.940398145
clickVideoExit,1
clickVideoExit,0.349768148
clickVideoExit,0.434721778
clickVideoExit,0.009993604
clickVideoExit,0.332787016
clickVideoExit,0.779501119
clickVideoExit,0.939398785
clickVideoExit,0.002998081
clickVideoExit,0.004760953
clickVideoExit,0.583626479
clickVideoExit,0.323792773
clickVideoExit,0.205868244
clickVideoExit,0.036976335
clickVideoExit,0.00410937
clickVideoExit,
clickVideoExit,0.010992965
clickVideoExit,0.294811321
clickVideoExit,0.529291254
clickVideoExit,0.184737768
clickVideoExit,0.000517669
clickVideoExit,0.002110649
clickVideoExit,0.013231532
clickVideoExit,0.961154861
clickVideoExit,0.446206428
clickVideoExit,
clickVideoExit,0.930512472
clickVideoExit,0.685407339
clickVideoExit,0.00170291
clickVideoExit,0
clickVideoExit,0.398442996
clickVideoExit,0.023151183
clickVideoExit,0.043356252
clickVideoExit,0.001798849
clickVideoExit,0.968186361
clickVideoExit,0.361298769
clickVideoExit,0.986476655
clickVideoExit,0.001043332
clickVideoExit,0
clickVideoExit,0.316141669
clickVideoExit,0.856791653
clickVideoExit,0.281329949
clickVideoExit,0
clickVideoExit,
clickVideoExit,
clickVideoExit,0.00275024
clickVideoExit,0.002382475
clickVideoExit,0.999334426
clickVideoExit,0
clickVideoExit,0.002376479
clickVideoExit,
clickVideoExit,0.015785897
clickVideoExit,0.308852335
clickVideoExit,0.992742645
clickVideoExit,0.000245843
clickVideoExit,0.63795371
clickVideoExit,0.282805005
clickVideoExit,0.002694276
clickVideoExit,0
clickVideoExit,0.865026383
clickVideoExit,0.004944835
clickVideoExit,0
clickVideoExit,0.981691717
clickVideoExit,0.409070195
clickVideoExit,0
clickVideoExit,0.004960825
clickVideoExit,0.518222338
clickVideoExit,0.872417653
clickVideoExit,0.196458267
clickVideoExit,0.980340582
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.189964423
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.019101775
clickVideoExit,0.623574912
clickVideoExit,0.460435321
clickVideoExit,0.86292173
clickVideoExit,0.372097857
clickVideoExit,0.011228814
clickVideoExit,0.598590902
clickVideoExit,0
clickVideoExit,0.002540374
clickVideoExit,0.001451071
clickVideoExit,0.932037496
clickVideoExit,0
clickVideoExit,0.668028462
clickVideoExit,0.441503438
clickVideoExit,0.794455548
clickVideoExit,
clickVideoExit,0.192043092
clickVideoExit,0.856727694
clickVideoExit,0.639768548
clickVideoExit,0
clickVideoExit,0.981601775
clickVideoExit,0.001742885
clickVideoExit,0.634989607
clickVideoExit,0.001285177
clickVideoExit,0
clickVideoExit,0.328721618
clickVideoExit,0.236564599
clickVideoExit,
clickVideoExit,0.00215662
clickVideoExit,0.746458267
clickVideoExit,0.228060042
clickVideoExit,0.981291973
clickVideoExit,0
clickVideoExit,0.370418932
clickVideoExit,0.167560761
clickVideoExit,0
clickVideoExit,0.618238327
clickVideoExit,0.756271986
clickVideoExit,0
clickVideoExit,0.307876959
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.156246003
clickVideoExit,0.882277343
clickVideoExit,0.829926847
clickVideoExit,0.001541014
clickVideoExit,0.001680924
clickVideoExit,0.405892229
clickVideoExit,0
clickVideoExit,0.507633115
clickVideoExit,0.002474416
clickVideoExit,0.002116645
clickVideoExit,0.001836824
clickVideoExit,0.549126559
clickVideoExit,0.350333786
clickVideoExit,0.082397266
clickVideoExit,0
clickVideoExit,0.001261193
clickVideoExit,0.085217461
clickVideoExit,0.982067477
clickVideoExit,0
clickVideoExit,0.967464823
clickVideoExit,0.41070315
clickVideoExit,0.599174528
clickVideoExit,0.815200272
clickVideoExit,0.057387272
clickVideoExit,0
clickVideoExit,0.614976415
clickVideoExit,0.620127119
clickVideoExit,0.668813959
clickVideoExit,
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.340574033
clickVideoExit,0.991987128
clickVideoExit,0.971911976
clickVideoExit,0.013767189
clickVideoExit,0.866509434
clickVideoExit,0.845173089
clickVideoExit,0
clickVideoExit,0.966049728
clickVideoExit,0.007257355
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.010885034
clickVideoExit,0
clickVideoExit,0.007503198
clickVideoExit,0
clickVideoExit,0
clickVideoExit,0.072365686
