event_key,learn_time,exit_ratio,c_start,c_end
clickVideoExit,2,0.000883532,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,231,0.460735905,NULL,NULL
clickVideoExit,4,0.002204332,NULL,NULL
clickVideoExit,395,1.14821746,NULL,NULL
clickVideoExit,11,0.350276396,NULL,NULL
clickVideoExit,444,0.581747414,NULL,NULL
clickVideoExit,638,1.135677063,NULL,NULL
clickVideoExit,125,1.128371278,NULL,NULL
clickVideoExit,6,0.090489164,NULL,NULL
clickVideoExit,394,0.698974671,NULL,NULL
clickVideoExit,551,1.146894861,NULL,NULL
clickVideoExit,83,0.726916599,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,150,0.486126207,NULL,NULL
clickVideoExit,1668,0.371599931,NULL,NULL
clickVideoExit,3,0.002058576,NULL,NULL
clickVideoExit,349,0.619116684,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,679,0,NULL,NULL
clickVideoExit,16,0.008966681,NULL,NULL
clickVideoExit,57,1.149514867,NULL,NULL
clickVideoExit,5,1.145818788,NULL,NULL
clickVideoExit,369,0.601951688,NULL,NULL
clickVideoExit,302,1.146317237,NULL,NULL
clickVideoExit,302,1.146317237,NULL,NULL
clickVideoExit,33,1.086794884,NULL,NULL
clickVideoExit,735,0,NULL,NULL
clickVideoExit,91,1.074443429,NULL,NULL
clickVideoExit,218,0.534569319,NULL,NULL
clickVideoExit,444,1.049290655,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,4,0.002386077,NULL,NULL
clickVideoExit,40,0.066653591,NULL,NULL
clickVideoExit,2474,0.688894127,NULL,NULL
clickVideoExit,582,0.818740958,NULL,NULL
clickVideoExit,21,0.007834824,NULL,NULL
clickVideoExit,56,0.059554743,NULL,NULL
clickVideoExit,20,0.033457256,NULL,NULL
clickVideoExit,622,1.148224658,NULL,NULL
clickVideoExit,20,0.031249325,NULL,NULL
clickVideoExit,14,0.005292195,NULL,NULL
clickVideoExit,208,0.06355673,NULL,NULL
clickVideoExit,12,0,NULL,NULL
clickVideoExit,10,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,3,0.003055474,NULL,NULL
clickVideoExit,645,0,NULL,NULL
clickVideoExit,95,0,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,64,0.431584744,NULL,NULL
clickVideoExit,656,0,NULL,NULL
clickVideoExit,740,0,NULL,NULL
clickVideoExit,123,0.217500054,NULL,NULL
clickVideoExit,9,0.013436526,NULL,NULL
clickVideoExit,243,0.60408944,NULL,NULL
clickVideoExit,94,0.16427939,NULL,NULL
clickVideoExit,247,0.43598261,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,341,0.615064313,NULL,NULL
clickVideoExit,35,0.988440305,NULL,NULL
clickVideoExit,678,1.148012323,NULL,NULL
clickVideoExit,646,1.151265736,NULL,NULL
clickVideoExit,14,0.02325075,NULL,NULL
clickVideoExit,50,0.288472335,NULL,NULL
clickVideoExit,25,0.042344761,NULL,NULL
clickVideoExit,19,0,NULL,NULL
clickVideoExit,822,0,NULL,NULL
clickVideoExit,11,0.147580454,NULL,NULL
clickVideoExit,2,0.002391475,NULL,NULL
clickVideoExit,6,0.008784936,NULL,NULL
clickVideoExit,76,0.1292872,NULL,NULL
clickVideoExit,255,0,NULL,NULL
clickVideoExit,295,1.112976945,NULL,NULL
clickVideoExit,454,0.808599233,NULL,NULL
clickVideoExit,705,0,NULL,NULL
